dataset,minsup,version,time_s,n_closed,memory_mb,bytes_alloc
chess,0.95,a0,0.01399993896484375,73,329,29932677
chess,0.95,a1,0.016000032424926758,73,329,11893338
chess,0.95,a2,0.0019998550415039062,73,329,904236
chess,0.9,a0,0.14599990844726562,498,332,221678515
chess,0.9,a1,0.07000017166137695,498,355,55148730
chess,0.9,a2,0.006000041961669922,498,355,4659162
chess,0.85,a0,0.6370000839233398,1885,355,849723591
chess,0.85,a1,0.2220001220703125,1885,361,186737697
chess,0.85,a2,0.021000146865844727,1885,361,16375048
chess,0.8,a0,1.7699999809265137,5083,361,2479498998
chess,0.8,a1,0.567000150680542,5083,376,466943625
chess,0.8,a2,0.053999900817871094,5083,376,41778415
chess,0.7,a0,9.763000011444092,23892,376,13090911420
chess,0.7,a1,2.5779998302459717,23892,386,1973910075
chess,0.7,a2,0.24100017547607422,23892,386,184026669
chess,0.6,a0,52.21600008010864,98392,456,56894076147
chess,0.6,a1,11.118000030517578,98392,473,7016435324
chess,0.6,a2,1.065999984741211,98392,473,700651835
mushrooms,0.7,a0,0.006000041961669922,12,473,11766064
mushrooms,0.7,a1,0.007999897003173828,12,473,7030603
mushrooms,0.7,a2,0.002000093460083008,12,473,876261
mushrooms,0.5,a0,0.02200007438659668,45,473,40081568
mushrooms,0.5,a1,0.016000032424926758,45,473,15476773
mushrooms,0.5,a2,0.003000020980834961,45,473,2779516
mushrooms,0.3,a0,0.15799999237060547,425,473,280905972
mushrooms,0.3,a1,0.0820000171661377,425,473,81383767
mushrooms,0.3,a2,0.009999990463256836,425,473,19862570
mushrooms,0.2,a0,0.5339999198913574,1169,473,827783283
mushrooms,0.2,a1,0.22300004959106445,1169,473,175524609
mushrooms,0.2,a2,0.023999929428100586,1169,473,49721297
mushrooms,0.1,a0,1.694000005722046,4850,473,2453730897
mushrooms,0.1,a1,0.8910000324249268,4850,473,484373612
mushrooms,0.1,a2,0.08299994468688965,4850,473,188335407
mushrooms,0.05,a0,2.940999984741211,12789,473,4703382738
mushrooms,0.05,a1,2.4670000076293945,12789,473,874457332
mushrooms,0.05,a2,0.19000005722045898,12789,473,466012150
retail,0.1,a0,0.042999982833862305,9,473,29897695
retail,0.1,a1,3.175999879837036,9,473,66789130
retail,0.1,a2,0.6319999694824219,9,757,2027847153
retail,0.05,a0,0.04999995231628418,16,757,34303449
retail,0.05,a1,3.813999891281128,16,757,95885285
retail,0.05,a2,0.7899999618530273,16,758,3315050590
retail,0.01,a0,0.10800004005432129,159,758,69855172
retail,0.01,a1,7.456000089645386,159,758,606928509
retail,0.01,a2,4.057000160217285,159,779,27896796230
retail,0.005,a0,0.19099998474121094,580,779,126435703
retail,0.005,a1,13.457000017166138,580,779,1965667994
retail,0.005,a2,17.29200005531311,580,779,98149222170
retail,0.002,a0,0.4960000514984131,2691,779,393555295
retail,0.002,a1,33.235000133514404,2691,779,7570014853
retail,0.002,a2,64.65400004386902,2691,779,431586504119
retail,0.001,a0,1.060999870300293,7572,779,940901360
retail,0.001,a1,60.64999985694885,7572,779,18628226358
retail,0.001,a2,204.58799982070923,7572,779,1186192242303
accidents,0.95,a0,0.8610000610351562,15,779,600145135
accidents,0.95,a1,2.703000068664551,15,779,785751138
accidents,0.95,a2,0.31599998474121094,15,779,330148187
accidents,0.9,a0,1.3429999351501465,31,779,1159070303
accidents,0.9,a1,4.565999984741211,31,779,1152459938
accidents,0.9,a2,0.4069998264312744,31,779,628619563
accidents,0.85,a0,3.234999895095825,71,779,2983379058
accidents,0.85,a1,10.944999933242798,71,779,2215540208
accidents,0.85,a2,0.629000186920166,71,779,1378958394
accidents,0.8,a0,8.513000011444092,149,781,5949165328
accidents,0.8,a1,24.402999877929688,149,781,4099794790
accidents,0.8,a2,0.875999927520752,149,781,2833912198
accidents,0.7,a0,23.972000122070312,529,917,23280540320
accidents,0.7,a1,55.68400001525879,529,917,12713258613
accidents,0.7,a2,1.9049999713897705,529,917,9874819850
accidents,0.6,a0,89.54900002479553,2074,1074,84616933890
accidents,0.6,a1,197.38300013542175,2074,1074,45131348408
accidents,0.6,a2,6.635999917984009,2074,1074,38309402268
