frac,version,time_s,n_closed
0.1,a0,0.006000041961669922,204
0.1,a1,0.48599982261657715,204
0.1,a2,0.38299989700317383,204
0.25,a0,0.01699995994567871,204
0.25,a1,1.2690000534057617,204
0.25,a2,1.060999870300293,204
0.5,a0,0.03299999237060547,178
0.5,a1,2.865999937057495,178
0.5,a2,1.9850001335144043,178
0.75,a0,0.04699993133544922,155
0.75,a1,4.065999984741211,155
0.75,a2,2.7330000400543213,155
1.0,a0,0.07200002670288086,159
1.0,a1,5.513999938964844,159
1.0,a2,3.5929999351501465,159
