L,avg_len,version,time_s,n_closed,time_spmf_s
50,49.86939931068439,a0,0.22799992561340332,119,0.6760001182556152
50,49.86939931068439,a1,0.19300007820129395,119,0.6760001182556152
50,49.86939931068439,a2,0.006000041961669922,119,0.6760001182556152
60,60.040743476120134,a0,0.29000020027160645,119,0.8350000381469727
60,60.040743476120134,a1,0.2259998321533203,119,0.8350000381469727
60,60.040743476120134,a2,0.006999969482421875,119,0.8350000381469727
70,69.97144263909404,a0,9.872999906539917,7140,13.312000036239624
70,69.97144263909404,a1,6.822999954223633,7140,13.312000036239624
70,69.97144263909404,a2,0.08699989318847656,7140,13.312000036239624
80,79.9958148695224,a0,240.1930000782013,219252,229.9720001220703
80,79.9958148695224,a1,150.18500018119812,219252,229.9720001220703
80,79.9958148695224,a2,2.447000026702881,219252,229.9720001220703
